id,created_at,text
1219274129888698372,Mon Jan 20 15:03:00 +0000 2020,@AntonioMaestre Del 2011 al 2018 que gobernó el PP ¿Como es que no era necesario el puto pin esesi los contenidos… https://t.co/OrmLjDt3xP
1219274135408345091,Mon Jan 20 15:03:01 +0000 2020,@canteli_alfredo @NachoCuestaCs . Piden respeto y ustedes son los primeros que no respetan. La plaza no necesita ni… https://t.co/SqIZIdx2Io
1219274364635488256,Mon Jan 20 15:03:56 +0000 2020,Y me da igual lo que digan que sigo pensando que el mayor peligro de VOX (al igual que el PP O Cs) es su neoliberal… https://t.co/oAuACGF6i3
1219274926026371073,Mon Jan 20 15:06:10 +0000 2020,El Ayuntamiento PP-Cs de Madrid amenaza con desalojar el Solar Maravillas https://t.co/042vpTs9LY
1219275267421720580,Mon Jan 20 15:07:31 +0000 2020,Es el verdadero ejemplo de lo que significa independencia judicial en este país. Ella sólo depende de lo que marca… https://t.co/Y4NO959uSo
1219275845686177792,Mon Jan 20 15:09:49 +0000 2020,Pablo no es momento de ver quien o quienes la tienen mas larga. A quien hay que oponerse es al gobierno y a sus pa… https://t.co/6JEBIQOdCS
1219276372490825729,Mon Jan 20 15:11:54 +0000 2020,No es de VOX ese va a ser su refugio cuando hunda definitivamente al PP
1219276608860835840,Mon Jan 20 15:12:51 +0000 2020,@populares @PPdePalencia Es una SUGERENCIA señorías del PP. No llega ni con mucho a sus aseveraciones precoces d… https://t.co/uabk2AH8tX
1219279052747542529,Mon Jan 20 15:22:33 +0000 2020,@ELTOLAVARA6 El mientras que no se hable de su MASTER REGALADO zapatea todo lo que le diga vox y mucho MÁS.Cuando… https://t.co/ScperBMWnk
1219279312777633792,Mon Jan 20 15:23:35 +0000 2020,CCOO y UGT  PP para que mantenemosEspaña y sus sindicatos
1219280038568366081,Mon Jan 20 15:26:28 +0000 2020,@SasshaSupper @Lola14262397 A ver que el problema es vuestro.¿Cuantos años lleva el PP gobernando Murcia?¿Ahora re… https://t.co/R8Llc2EHvu
1219281473016074246,Mon Jan 20 15:32:10 +0000 2020,No sé  si eso es cierto o no pero porque otros se tiren un pozo no me voy a tener que tirar yo. Tengo muy presen… https://t.co/PGZy6K99i9
1219282058088009729,Mon Jan 20 15:34:30 +0000 2020,@iescolar Como puede ser este elemento el Predidente de PP que se ha echado en manos de la ultraderecha  de VOX .… https://t.co/kBRxKz2G1O
1219283554171006977,Mon Jan 20 15:40:27 +0000 2020,@Santi_ABASCAL La locura consentida por el PP y el C’s (el desaparecido) al aliarse con VOX los va engullir .
